Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
Substance P;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;332;6
Zinc;Pharmacologic Substance, Biologically Active Substance, Element, Ion, or Isotope;332;2
Superoxide Dismutase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;332;0
Dinoprostone;Eicosanoid, Pharmacologic Substance, Hormone;331;0
Phospholipids;Lipid, Biologically Active Substance;329;0
Somatostatin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;325;3
TRANSCRIPTION FACTOR;Amino Acid, Peptide, or Protein, Biologically Active Substance;325;0
VEGF protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;324;2
Albumins;Amino Acid, Peptide, or Protein, Biologically Active Substance;324;1
Nerve Growth Factors;Amino Acid, Peptide, or Protein, Biologically Active Substance;322;5
Ascorbic Acid;Organic Chemicals, Pharmacologic Substance, Vitamin;320;0
Fatty Acids;Lipid;319;0
Nitric Oxide Synthase;Amino Acid, Peptide, or Protein, Enzyme;318;0
Neuropeptides;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;318;0
Glycoproteins;Amino Acid, Peptide, or Protein, Carbohydrate;318;0
Monoclonal Antibodies;Amino Acid, Peptide, or Protein, Immunologic Factor;316;0
Membrane Transport Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;316;0
Tryptophan;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;314;7
Endothelin-1;Amino Acid, Peptide, or Protein, Biologically Active Substance;314;2
NOS2A protein, human;Amino Acid, Peptide, or Protein, Enzyme;312;0
Lithium;Pharmacologic Substance, Element, Ion, or Isotope;310;0
Interferon Type II;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;310;3
Mitogen-Activated Protein Kinases;Amino Acid, Peptide, or Protein, Enzyme;310;0
Iron;Pharmacologic Substance, Biologically Active Substance, Element, Ion, or Isotope;308;0
Interleukin-1;Amino Acid, Peptide, or Protein, Immunologic Factor;307;1
Recombinant Tumor Necrosis Factor-Alpha;Amino Acid, Peptide, or Protein, Immunologic Factor;307;0
neuropeptide Y;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;304;3
Thyroid Hormones;Amino Acid, Peptide, or Protein, Hormone;304;0
Cyclic GMP;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;304;1
Superoxides;Element, Ion, or Isotope;302;0
Oxidoreductase;Amino Acid, Peptide, or Protein, Enzyme;300;0
Heparin;Carbohydrate, Pharmacologic Substance, Biologically Active Substance;299;0
Alkaline Phosphatase;Amino Acid, Peptide, or Protein, Enzyme;299;0
Polypeptides;Amino Acid, Peptide, or Protein;299;0
Arachidonic Acid;Eicosanoid;298;0
Ephrin Receptor EphB1;Amino Acid, Peptide, or Protein, Enzyme, Receptor;297;0
Adenylate Cyclase;Amino Acid, Peptide, or Protein, Enzyme;294;0
Epoprostenol;Eicosanoid, Pharmacologic Substance, Biologically Active Substance;293;1
Glycine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;292;3
Aspartate;Amino Acid, Peptide, or Protein, Biologically Active Substance;292;0
Hydroxytryptamine;Organic Chemicals, Neuroreactive Substance or Biogenic Amine;291;0
Corticotropin-Releasing Hormone;Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine, Hormone;288;1
Magnesium;Element, Ion, or Isotope;288;13
Interleukin-2;Amino Acid, Peptide, or Protein, Immunologic Factor;284;6
Vitamin E;Lipid, Pharmacologic Substance, Vitamin;283;0
Atrial Natriuretic Factor;Amino Acid, Peptide, or Protein, Biologically Active Substance;283;0
Corticosterone;Steroid, Pharmacologic Substance, Hormone;283;0
Prostaglandin-Endoperoxide Synthase;Amino Acid, Peptide, or Protein, Enzyme;283;0
Cyclic AMP-Dependent Protein Kinases;Amino Acid, Peptide, or Protein, Enzyme;281;0
Gonadorelin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine, Hormone;277;0
Vasoactive Intestinal Peptide;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine, Hormone;277;0
Copper;Pharmacologic Substance, Biologically Active Substance, Element, Ion, or Isotope;277;2
PROTEIN KINASE;Amino Acid, Peptide, or Protein, Enzyme;277;0
Endothelin;Amino Acid, Peptide, or Protein, Biologically Active Substance;276;0
Oxytocin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;276;0
Binding Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;276;0
Glutathione;Amino Acid, Peptide, or Protein, Biologically Active Substance;276;0
Lipoproteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;275;1
Hemoglobin;Amino Acid, Peptide, or Protein, Biologically Active Substance;275;1
TGFB1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;274;1
Transforming Growth Factor beta;Amino Acid, Peptide, or Protein, Biologically Active Substance;274;0
Free Radicals;Chemical Viewed Structurally, Biologically Active Substance;272;0
Epidermal Growth Factor;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;271;0
C-reactive protein;Amino Acid, Peptide, or Protein, Immunologic Factor;270;9
Tretinoin;Organic Chemicals, Pharmacologic Substance, Vitamin;269;0
GTP-Binding Proteins;Amino Acid, Peptide, or Protein, Enzyme;269;0
Triglycerides;Lipid, Biologically Active Substance;269;19
Carbohydrates;Carbohydrate;269;0
Nonesterified Fatty Acids;Lipid;269;2
Bradykinin;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine, Hormone;268;0
Calcitonin Gene-Related Peptide;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine, Hormone;266;13
Methionine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;266;3
Thrombin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;266;0
Homocystine;Amino Acid, Peptide, or Protein, Biologically Active Substance;265;0
cyclooxygenase 2;Amino Acid, Peptide, or Protein, Enzyme;264;0
Calcium Channel;Amino Acid, Peptide, or Protein, Biologically Active Substance;262;0
Aldosterone;Steroid, Pharmacologic Substance, Hormone;262;0
Tyrosine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;262;3
Immunoglobulins;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;259;0
Blood Glucose;Carbohydrate;259;0
Autoantibodies;Amino Acid, Peptide, or Protein, Immunologic Factor;258;0
Brain-Derived Neurotrophic Factor;Amino Acid, Peptide, or Protein, Biologically Active Substance;258;5
Carbon Dioxide;Biologically Active Substance, Inorganic Chemical;258;0
Cysteine;Amino Acid, Peptide, or Protein, Biologically Active Substance;258;2
Peptidyl-Dipeptidase A;Amino Acid, Peptide, or Protein, Enzyme, Immunologic Factor;258;1
Cell Adhesion Molecules;Amino Acid, Peptide, or Protein, Biologically Active Substance;258;0
Proto-Oncogene Proteins c-akt;Amino Acid, Peptide, or Protein, Enzyme;257;0
Membrane Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;256;0
Cholecystokinin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;255;0
Leucine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;254;1
Analog;Chemical Viewed Structurally;253;0
Serine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;252;0
Immune Sera;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;251;0
Transcript;Nucleic Acid, Nucleoside, or Nucleotide;249;0
Dinoprost;Eicosanoid, Pharmacologic Substance, Hormone;249;0
Theophylline;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;248;0
Fibrinogen;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;248;6
Adenosine Triphosphatases;Amino Acid, Peptide, or Protein, Enzyme;248;0
Alteplase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;247;0
Platelet Activating Factor;Lipid, Immunologic Factor;247;0
Liposomes;Lipid;247;0
Adenosine Triphosphate;Nucleic Acid, Nucleoside, or Nucleotide, Pharmacologic Substance, Biologically Active Substance;246;0
Interferons;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;246;0
Fibronectins;Amino Acid, Peptide, or Protein, Biologically Active Substance;246;0
beta-Endorphin;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;245;13
Levodopa;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine;245;0
Apolipoprotein E;Amino Acid, Peptide, or Protein, Biologically Active Substance;245;0
Glucagon;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Neuroreactive Substance or Biogenic Amine, Hormone;245;1
Fibroblast Growth Factor 2;Amino Acid, Peptide, or Protein, Biologically Active Substance;244;0
Glutamine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;243;4
Taurine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;242;4
Erythropoietin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;241;0
Calmodulin;Amino Acid, Peptide, or Protein, Biologically Active Substance;241;0
Glycerin;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;239;0
G-Protein-Coupled Receptors;Amino Acid, Peptide, or Protein, Receptor;239;0
Forskolin;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;239;0
Thyroxine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;238;0
Interleukin-10;Amino Acid, Peptide, or Protein, Immunologic Factor;238;5
Phenylalanine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;235;1
Alprostadil;Eicosanoid, Pharmacologic Substance;234;0
aspartic acid receptor;Amino Acid, Peptide, or Protein, Receptor;233;0
Follicle Stimulating Hormone;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;232;1
Polyunsaturated Fatty Acids;Lipid, Biologically Active Substance;232;0
NF-Kappa B p65;Amino Acid, Peptide, or Protein, Biologically Active Substance;228;0
GTPase-Activating Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;227;0
Capsaicin;Lipid, Pharmacologic Substance;227;0
Cisplatin;Pharmacologic Substance, Inorganic Chemical;227;0
Cytochrome P450;Amino Acid, Peptide, or Protein, Enzyme;227;0
Choline;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;226;0
Interleukin-8;Amino Acid, Peptide, or Protein, Immunologic Factor;226;0
Esters;Organic Chemicals;226;0
Genistein;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;225;0
Interleukin-4;Amino Acid, Peptide, or Protein, Immunologic Factor;224;4
Captopril;Amino Acid, Peptide, or Protein, Pharmacologic Substance;224;0
CATALASE;Amino Acid, Peptide, or Protein, Enzyme;224;0
Selectins;Amino Acid, Peptide, or Protein, Biologically Active Substance;223;0
Lecithin;Lipid, Pharmacologic Substance, Biologically Active Substance;223;0
dehydroepiandrosterone;Steroid, Pharmacologic Substance, Hormone;222;0
Matrix Metalloproteinases;Amino Acid, Peptide, or Protein, Enzyme;222;6
Muscarinic Acetylcholine Receptor;Amino Acid, Peptide, or Protein, Receptor;221;0
Ouabain;Steroid, Carbohydrate, Pharmacologic Substance;220;0
Intercellular adhesion molecule 1;Amino Acid, Peptide, or Protein, Immunologic Factor;220;1
Steroid hormone;Steroid, Hormone;219;0
Amines;Organic Chemicals;218;0
Phospholipase C;Amino Acid, Peptide, or Protein, Enzyme;218;0
Nicotinic Receptors;Amino Acid, Peptide, or Protein, Receptor;217;0
Glycosaminoglycans;Carbohydrate, Pharmacologic Substance, Biologically Active Substance;217;0
Sugars;Carbohydrate, Pharmacologic Substance;216;0
Acetylcysteine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;216;0
Luteinizing Hormone;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;216;3
Urea;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;216;0
Methylprednisolone;Steroid, Pharmacologic Substance, Hormone;215;0
Extracellular Signal Regulated Kinases;Amino Acid, Peptide, or Protein, Enzyme;215;0
Particle;Chemical Viewed Structurally;214;0
Electrolytes;Pharmacologic Substance, Inorganic Chemical;213;0
Lysine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;212;2
Dopamine Receptor;Amino Acid, Peptide, or Protein, Receptor;212;0
Polysaccharides;Carbohydrate, Pharmacologic Substance;212;0
Chlorides;Inorganic Chemical;212;0
Angiotensins;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;211;0
Opioid Receptor;Amino Acid, Peptide, or Protein, Receptor;210;0
Plasminogen Activator Inhibitor 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;209;1
Adiponectin;Amino Acid, Peptide, or Protein, Biologically Active Substance;208;2
Sucrose;Carbohydrate, Biologically Active Substance;208;0
Lipoxygenase;Amino Acid, Peptide, or Protein, Enzyme;208;0
Low-Density Lipoproteins;Amino Acid, Peptide, or Protein, Lipid, Biologically Active Substance;207;7
Thyrotropin-Releasing Hormone;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;207;0
Interferon Alpha, Human;Amino Acid, Peptide, or Protein, Immunologic Factor;207;0
Glycogen;Carbohydrate, Biologically Active Substance;207;0
TRYPSIN;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;207;0
Peroxidase;Amino Acid, Peptide, or Protein, Enzyme;207;0
ghrelin;Amino Acid, Peptide, or Protein, Hormone;206;1
Specific antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;206;0
NF-kappa B;Amino Acid, Peptide, or Protein, Immunologic Factor;206;0
Prostaglandins E;Eicosanoid, Biologically Active Substance;205;0
Plasma Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;205;0
Gelatinase B;Amino Acid, Peptide, or Protein, Enzyme;204;0
Nitrogen;Element, Ion, or Isotope;204;0
Serum Albumin, Bovine;Amino Acid, Peptide, or Protein, Biologically Active Substance;204;0
Sulfhydryl Compounds;Organic Chemicals;203;1
Acetylcholinesterase;Amino Acid, Peptide, or Protein, Enzyme;202;0
Docosahexaenoic Acids;Lipid, Pharmacologic Substance, Biologically Active Substance;202;0
Vitamin D;Organic Chemicals, Pharmacologic Substance, Vitamin;201;0
Glucocorticoid Receptor;Amino Acid, Peptide, or Protein, Receptor;201;0
Oils;Lipid;201;0
Metals;Inorganic Chemical;200;0
Heat shock proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;200;0
Heat-Shock Proteins 70;Amino Acid, Peptide, or Protein, Biologically Active Substance;200;0
Alanine;Amino Acid, Peptide, or Protein, Biologically Active Substance;200;2
Anions;Element, Ion, or Isotope;200;0
chemical cofactor;Biologically Active Substance;199;0
alpha Tocopherol;Lipid, Pharmacologic Substance, Vitamin;199;0
PPAR gamma;Amino Acid, Peptide, or Protein, Receptor;199;0
Interleukin-1 alpha;Amino Acid, Peptide, or Protein, Immunologic Factor;198;1
Recombinant Chemokine;Amino Acid, Peptide, or Protein, Immunologic Factor;197;0
phosphoric diester hydrolase;Amino Acid, Peptide, or Protein, Enzyme;197;0
Ion Channel;Amino Acid, Peptide, or Protein, Biologically Active Substance;196;0
N-Methyl-D-Aspartate Receptors;Amino Acid, Peptide, or Protein, Receptor;196;0
monoamine;Organic Chemicals;196;0
Phosphoric Monoester Hydrolases;Amino Acid, Peptide, or Protein, Enzyme;196;0
adrenomedullin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;196;0
Cholinergic Receptors;Amino Acid, Peptide, or Protein, Receptor;195;0
Proteoglycan;Amino Acid, Peptide, or Protein, Biologically Active Substance;195;0
Human Chorionic Gonadotropin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;194;0
Glutamate Receptor;Amino Acid, Peptide, or Protein, Receptor;193;0
Epitopes;Immunologic Factor;193;0
1-Phosphatidylinositol 3-Kinase;Amino Acid, Peptide, or Protein, Enzyme;193;0
Lactate Dehydrogenase;Amino Acid, Peptide, or Protein, Enzyme;192;0
Thromboplastin;Amino Acid, Peptide, or Protein, Immunologic Factor;192;0
MicroRNAs;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;191;0
Ammonia;Pharmacologic Substance, Inorganic Chemical;191;2
Calcitonin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;191;0
Tyrosine 3-Monooxygenase;Amino Acid, Peptide, or Protein, Enzyme;191;0
Platelet-Derived Growth Factor;Amino Acid, Peptide, or Protein, Biologically Active Substance;191;0
Quercetin;Organic Chemicals, Pharmacologic Substance, Vitamin;191;0
Immune complex;Amino Acid, Peptide, or Protein, Immunologic Factor;190;0
Fusion protein;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;190;0
Signaling Molecule;Biologically Active Substance;190;0
Polyamines;Organic Chemicals;190;0
Calcium ion;Element, Ion, or Isotope;190;2
Baclofen;Amino Acid, Peptide, or Protein, Pharmacologic Substance;189;0
Monocyte Chemoattractant Protein-1;Amino Acid, Peptide, or Protein, Immunologic Factor;189;2
Uric Acid;Organic Chemicals, Biologically Active Substance;189;0
Somatomedins;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine, Hormone;189;0
Lectin;Amino Acid, Peptide, or Protein, Biologically Active Substance;189;0
Eicosanoids;Eicosanoid;188;0
Potassium Channel;Amino Acid, Peptide, or Protein, Biologically Active Substance;188;0
Carnitine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;188;0
Creatinine;Organic Chemicals, Biologically Active Substance;188;1
Neurotensin;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine, Hormone;188;0
Malondialdehyde;Organic Chemicals;187;3
Natriuretic Peptides;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;187;0
MAPK14 protein, human;Amino Acid, Peptide, or Protein, Enzyme;187;0
High Density Lipoprotein Cholesterol;Lipid, Biologically Active Substance;186;11
Cations;Chemical Viewed Structurally;186;0
Epidermal Growth Factor Receptor;Amino Acid, Peptide, or Protein, Enzyme, Receptor;186;0
Phosphatidylinositols;Lipid, Biologically Active Substance;186;0
Total cholesterol;Steroid;185;0
Nucleotides;Nucleic Acid, Nucleoside, or Nucleotide;185;0
Cyclic AMP-Responsive DNA-Binding Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;185;0
Granulocyte-Macrophage Colony-Stimulating Factor;Amino Acid, Peptide, or Protein, Immunologic Factor;184;0
Protons;Element, Ion, or Isotope;184;0
Prednisone;Steroid, Pharmacologic Substance, Hormone;183;0
NOS1 protein, human;Amino Acid, Peptide, or Protein, Enzyme;183;0
Integrins;Amino Acid, Peptide, or Protein, Immunologic Factor, Receptor;183;0
second messenger;Biologically Active Substance;183;0
Oxidase;Amino Acid, Peptide, or Protein, Enzyme;183;0
High Density Lipoproteins;Amino Acid, Peptide, or Protein, Lipid, Biologically Active Substance;183;10
CD40 Ligand;Amino Acid, Peptide, or Protein, Immunologic Factor;182;1
Receptors, Purinergic P1;Amino Acid, Peptide, or Protein, Receptor;182;0
Proto-Oncogene Proteins c-jun;Amino Acid, Peptide, or Protein, Biologically Active Substance;182;0
RNA, Small Interfering;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;182;0
Phospholipase A2;Amino Acid, Peptide, or Protein, Enzyme;182;0
Valine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;181;2
Galanin;Amino Acid, Peptide, or Protein, Biologically Active Substance;181;0
PTH protein, human;Amino Acid, Peptide, or Protein, Hormone;181;0
beta-adrenergic receptor;Amino Acid, Peptide, or Protein, Receptor;178;0
Mineralocorticoid Receptor;Amino Acid, Peptide, or Protein, Receptor;177;0
Monoamine Oxidase;Amino Acid, Peptide, or Protein, Enzyme;177;0
Eicosapentaenoic Acid;Lipid, Pharmacologic Substance, Biologically Active Substance;177;0
Gangliosides;Lipid, Pharmacologic Substance;177;0
Biotin;Organic Chemicals, Pharmacologic Substance, Vitamin;177;0
Endocannabinoids;Organic Chemicals, Biologically Active Substance;176;0
Fibroblast Growth Factor;Amino Acid, Peptide, or Protein, Biologically Active Substance;176;0
TLR4 protein, human;Amino Acid, Peptide, or Protein, Receptor;176;0
Small Molecule;Organic Chemicals;176;0
Sulfuric Acid Esters;Organic Chemicals;176;0
Manganese;Element, Ion, or Isotope;175;1
chemokine;Amino Acid, Peptide, or Protein, Immunologic Factor;175;0
oxidized low density lipoprotein;Amino Acid, Peptide, or Protein, Biologically Active Substance;175;3
Metalloproteases;Amino Acid, Peptide, or Protein, Enzyme;175;0
Glutamic Acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;174;7
Inositol;Carbohydrate, Pharmacologic Substance, Vitamin;174;0
Plasmids;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;174;0
ESR1 protein, human;Amino Acid, Peptide, or Protein, Receptor;174;0
Transferrin;Amino Acid, Peptide, or Protein, Biologically Active Substance;174;0
CRK protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;174;0
Cortisone;Steroid, Pharmacologic Substance, Hormone;173;0
Enkephalins;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;173;1
Progestins;Steroid, Pharmacologic Substance, Hormone;173;0
DNA, Complementary;Nucleic Acid, Nucleoside, or Nucleotide;173;0
pituitary adenylate cyclase activating polypeptide;Amino Acid, Peptide, or Protein, Biologically Active Substance;173;0
Na(+)-K(+)-Exchanging ATPase;Amino Acid, Peptide, or Protein, Enzyme;173;0
Actins;Amino Acid, Peptide, or Protein, Biologically Active Substance;173;0
Histidine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;172;1
Amides;Organic Chemicals;172;0
Chymosin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;171;0
Thromboxane A2;Eicosanoid;171;1
Serum Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;171;0
Mixed Function Oxygenases;Amino Acid, Peptide, or Protein, Enzyme;171;0
Flavonoids;Organic Chemicals;171;0
Nicotinamide adenine dinucleotide (NAD);Nucleic Acid, Nucleoside, or Nucleotide, Pharmacologic Substance, Biologically Active Substance;171;0
Concanavalin A;Amino Acid, Peptide, or Protein, Biologically Active Substance;171;0
Threonine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Biologically Active Substance;170;2
Mannitol;Carbohydrate, Pharmacologic Substance;169;0
Vitamin B 12;Organic Chemicals, Pharmacologic Substance, Vitamin;169;4
